Gamma,0.000000,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000,
DLS,1.0000,0.9634,0.9634,0.9560,0.9548,0.9541,0.9520,0.9475,0.9395,0.9275,0.9112,0.8897,0.8673,0.8293,0.7604,0.6502,0.5017,0.3191,0.1583,0.0509,0.0078,
DLSM_th1,1.0000,0.9522,0.9522,0.9391,0.9366,0.9357,0.9338,0.9293,0.9227,0.9117,0.8964,0.8783,0.8606,0.8339,0.7968,0.7278,0.6187,0.4616,0.2773,0.1142,0.0249,
DLSM_th2,1.0000,0.8458,0.8458,0.8107,0.8002,0.7960,0.7940,0.7928,0.7909,0.7863,0.7798,0.7704,0.7581,0.7443,0.7268,0.7040,0.6634,0.6085,0.5243,0.3873,0.1881,
DLSM_th3,1.0000,0.6276,0.6276,0.5735,0.5487,0.5361,0.5305,0.5280,0.5260,0.5244,0.5223,0.5206,0.5179,0.5143,0.5100,0.5033,0.4915,0.4680,0.4292,0.3539,0.2045,
