Gamma,0.000000,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000,
DLS,1.0000,0.9224,0.9093,0.9087,0.9086,0.9085,0.9084,0.9083,0.9083,0.9080,0.9076,0.9066,0.9058,0.9047,0.9030,0.8993,0.8840,0.8075,0.5517,0.1534,0.0140,
DLSM,1.0000,0.9210,0.9076,0.9070,0.9069,0.9068,0.9068,0.9067,0.9066,0.9065,0.9061,0.9054,0.9048,0.9040,0.9028,0.9007,0.8924,0.8473,0.6606,0.2458,0.0236,
Clover,1.0000,0.3164,0.2986,0.2848,0.2713,0.2570,0.2421,0.2269,0.2109,0.1942,0.1780,0.1582,0.1394,0.1193,0.0988,0.0776,0.0541,0.0300,0.0108,0.0011,0.0000,
Starcode,1.0000,0.9510,0.9453,0.9449,0.9449,0.9449,0.9448,0.9448,0.9448,0.9446,0.9446,0.9441,0.9440,0.9437,0.9429,0.9423,0.9391,0.9223,0.8222,0.4369,0.0512,
MMSeqs2,1.0000,0.5425,0.5413,0.5403,0.5393,0.5382,0.5366,0.5340,0.5300,0.5234,0.5145,0.5013,0.4857,0.4657,0.4434,0.4195,0.3933,0.3657,0.3387,0.3111,0.2876,
