Gamma,0.000000,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000,
DLS,1.0000,0.9363,0.9363,0.9363,0.9363,0.9362,0.9362,0.9361,0.9361,0.9356,0.9356,0.9305,0.9300,0.9251,0.8837,0.8806,0.8396,0.7843,0.7553,0.7490,0.7490,
DLSM,1.0000,0.9414,0.9414,0.9414,0.9414,0.9414,0.9413,0.9412,0.9412,0.9410,0.9410,0.9389,0.9387,0.9367,0.9129,0.9117,0.8869,0.8516,0.8314,0.8266,0.8266,
Clover,1.0000,0.7339,0.7339,0.7338,0.7338,0.7338,0.7337,0.7332,0.7330,0.7299,0.7298,0.7044,0.7027,0.6824,0.4709,0.4609,0.2899,0.0991,0.0163,0.0009,0.0009,
Starcode,1.0000,0.8514,0.8514,0.8514,0.8514,0.8513,0.8506,0.8472,0.8465,0.8296,0.8296,0.7735,0.7647,0.7287,0.6068,0.6058,0.5244,0.4639,0.4464,0.4410,0.4410,
MMSeqs2,1.0000,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9885,0.9885,0.9843,0.9842,0.9827,0.9478,0.9470,0.9275,0.9010,0.8851,0.8811,0.8811,
