Gamma,0.000000,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000,
DLS,1.0000,0.9974,0.9974,0.9974,0.9974,0.9974,0.9973,0.9971,0.9969,0.9964,0.9952,0.9938,0.9921,0.9906,0.9890,0.9874,0.9855,0.9832,0.9716,0.5399,0.0012,
DLSM,1.0000,0.9967,0.9967,0.9967,0.9967,0.9967,0.9966,0.9965,0.9963,0.9958,0.9950,0.9937,0.9922,0.9909,0.9897,0.9884,0.9867,0.9849,0.9790,0.6914,0.0024,
Clover,1.0000,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9975,0.9973,0.9964,0.9953,0.9941,0.9923,0.9897,0.9848,0.9721,0.9021,0.5336,0.0163,0.0000,
Starcode,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,0.9995,0.9852,0.5517,0.0009,
MMSeqs2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997,0.9968,0.8566,0.0064,
